Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)",last_updated
March,2021,"RIL TOTAL",4890.00,2023-08-19
July,2022,"BPCL-KOCHI, KERALA",1423.65,2023-08-19
July,2022,HPCL-TOTAL,2669.81,2023-08-19
August,2022,"IOCL-KOYALI, GUJARAT",1277.89,2023-08-19
August,2022,"IOCL-HALDIA, WEST BENGAL",708.57,2023-08-19
August,2022,"IOCL-GUWAHATI,ASSAM",91.19,2023-08-19
August,2022,"IOCL-BONGAIGAON,ASSAM",248.88,2023-08-19
August,2022,"NRL-NUMALIGARH, ASSAM",264.33,2023-08-19
August,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1019.70,2023-08-19
August,2022,HPCL-TOTAL,2342.38,2023-08-19
August,2022,"RIL TOTAL",5176.59,2023-08-19
September,2022,"IOCL-PANIPAT, HARYANA",1153.66,2023-08-19
September,2022,"BPCL-KOCHI, KERALA",1155.88,2023-08-19
September,2022,BORL-BINA,650.73,2023-08-19
September,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.82,2023-08-19
September,2022,"HMEL-GGSR, BATHINDA, PUNJAB",932.59,2023-08-19
September,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",1838.73,2023-08-19
September,2022,"RIL TOTAL",4622.84,2023-08-19
October,2022,"IOCL-KOYALI, GUJARAT",1323.40,2023-08-19
October,2022,"IOCL TOTAL",6245.22,2023-08-19
October,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",7.55,2023-08-19
October,2022,"MRPL-MANGALORE,KARNATAKA",1493.47,2023-08-19
October,2022,"HPCL-MUMBAI,MAHARASHTRA",761.39,2023-08-19
September,2021,"IOCL-BONGAIGAON,ASSAM",219.00,2023-08-19
October,2021,"IOCL-KOYALI, GUJARAT",939.00,2023-08-19
October,2021,"IOCL-PANIPAT, HARYANA",1315.00,2023-08-19
October,2021,"IOCL-BONGAIGAON,ASSAM",215.00,2023-08-19
October,2021,"IOCL-PARADIP,ODISHA",877.00,2023-08-19
October,2021,"BPCL-MUMBAI, MAHARASHTRA",1110.00,2023-08-19
October,2021,"ONGC TOTAL",1469.00,2023-08-19
October,2021,"RIL TOTAL",5754.00,2023-08-19
October,2021,"NEL-VADINAR,GUJARAT",1749.00,2023-08-19
November,2021,"IOCL-MATHURA, UTTAR PRADESH",852.00,2023-08-19
November,2021,"IOCL-PANIPAT, HARYANA",1340.00,2023-08-19
November,2021,"IOCL-BONGAIGAON,ASSAM",217.00,2023-08-19
November,2021,"BPCL-MUMBAI, MAHARASHTRA",1294.00,2023-08-19
November,2021,"BPCL-KOCHI, KERALA",1429.00,2023-08-19
November,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
November,2021,"HPCL-MUMBAI,MAHARASHTRA",545.00,2023-08-19
November,2021,"RIL TOTAL",5448.00,2023-08-19
December,2021,"IOCL-PARADIP,ODISHA",1330.00,2023-08-19
December,2021,"IOCL TOTAL",5905.00,2023-08-19
December,2021,"MRPL-MANGALORE,KARNATAKA",1434.00,2023-08-19
April,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.05,2023-08-19
April,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1039.86,2023-08-19
May,2022,"IOCL-DIGBOI,ASSAM",62.26,2023-08-19
May,2022,"IOCL-BONGAIGAON,ASSAM",182.52,2023-08-19
May,2022,"MRPL-MANGALORE,KARNATAKA",1415.20,2023-08-19
May,2022,"ONGC TOTAL",1421.98,2023-08-19
May,2022,"RIL,JAMNAGAR,GUJARAT",3123.94,2023-08-19
May,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2547.25,2023-08-19
June,2022,"IOCL-MATHURA, UTTAR PRADESH",867.72,2023-08-19
June,2022,"BPCL-MUMBAI, MAHARASHTRA",881.71,2023-08-19
June,2022,"NRL-NUMALIGARH, ASSAM",240.56,2023-08-19
June,2022,"MRPL-MANGALORE,KARNATAKA",1428.97,2023-08-19
June,2022,"ONGC TOTAL",1435.69,2023-08-19
June,2022,"RIL TOTAL",5361.90,2023-08-19
July,2022,"IOCL-MATHURA, UTTAR PRADESH",714.64,2023-08-19
July,2022,"IOCL-GUWAHATI,ASSAM",93.18,2023-08-19
July,2022,CPCL-TOTAL,975.07,2023-08-19
July,2022,"BPCL-MUMBAI, MAHARASHTRA",689.36,2023-08-19
October,2022,"RIL TOTAL",4691.26,2023-08-19
November,2022,"IOCL-MATHURA, UTTAR PRADESH",836.84,2023-08-19
November,2022,BPCL-TOTAL,3289.21,2023-08-19
November,2022,"NRL-NUMALIGARH, ASSAM",247.00,2023-08-19
December,2022,"IOCL-GUWAHATI,ASSAM",73.44,2023-08-19
December,2022,BORL-BINA,712.61,2023-08-19
December,2022,"RIL,JAMNAGAR,GUJARAT",2840.86,2023-08-19
December,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2467.05,2023-08-19
January,2023,"IOCL-BARAUNI,BIHAR",602.13,2023-08-19
January,2023,"IOCL TOTAL",6541.94,2023-08-19
January,2023,BORL-BINA,678.71,2023-08-19
January,2023,BPCL-TOTAL,3601.99,2023-08-19
January,2023,"MRPL-MANGALORE,KARNATAKA",1496.59,2023-08-19
January,2023,"RIL,JAMNAGAR,GUJARAT",2848.00,2023-08-19
January,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2542.80,2023-08-19
February,2023,"IOCL-DIGBOI,ASSAM",57.15,2023-08-19
February,2023,"IOCL TOTAL",5938.40,2023-08-19
February,2023,"BPCL-MUMBAI, MAHARASHTRA",1293.12,2023-08-19
February,2023,"BPCL-KOCHI, KERALA",1406.51,2023-08-19
February,2023,"RIL TOTAL",4855.94,2023-08-19
February,2023,"NEL-VADINAR,GUJARAT",1568.22,2023-08-19
February,2023,"GRAND TOTAL",20847.79,2023-08-19
March,2023,"IOCL-MATHURA, UTTAR PRADESH",897.88,2023-08-19
March,2023,"IOCL-BONGAIGAON,ASSAM",257.73,2023-08-19
March,2023,"IOCL TOTAL",6696.37,2023-08-19
March,2023,CPCL-TOTAL,1033.64,2023-08-19
March,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.94,2023-08-19
March,2023,"ONGC TOTAL",1507.19,2023-08-19
March,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2537.59,2023-08-19
April,2021,"IOCL TOTAL",5980.00,2023-08-19
April,2021,"NRL-NUMALIGARH, ASSAM",221.00,2023-08-19
April,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1059.00,2023-08-19
May,2021,"HPCL-MUMBAI,MAHARASHTRA",119.00,2023-08-19
May,2021,HPCL-TOTAL,1958.00,2023-08-19
May,2021,"RIL TOTAL",5515.00,2023-08-19
June,2021,"IOCL-KOYALI, GUJARAT",1072.00,2023-08-19
June,2021,"IOCL-PANIPAT, HARYANA",1213.00,2023-08-19
June,2021,"NRL-NUMALIGARH, ASSAM",193.00,2023-08-19
June,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00,2023-08-19
July,2021,"IOCL-DIGBOI,ASSAM",60.00,2023-08-19
July,2021,"BPCL-KOCHI, KERALA",1087.00,2023-08-19
July,2021,"HPCL-MUMBAI,MAHARASHTRA",319.00,2023-08-19
August,2021,"IOCL-KOYALI, GUJARAT",1090.00,2023-08-19
August,2021,"NRL-NUMALIGARH, ASSAM",212.00,2023-08-19
August,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
August,2021,"NEL-VADINAR,GUJARAT",1710.00,2023-08-19
December,2021,"HPCL-MUMBAI,MAHARASHTRA",674.00,2023-08-19
December,2021,"GRAND TOTAL",21483.00,2023-08-19
January,2022,"IOCL-MATHURA, UTTAR PRADESH",746.00,2023-08-19
January,2022,"BPCL-MUMBAI, MAHARASHTRA",1303.00,2023-08-19
January,2022,BORL-BINA,722.00,2023-08-19
January,2022,HPCL-TOTAL,2745.00,2023-08-19
January,2022,"NEL-VADINAR,GUJARAT",1733.00,2023-08-19
February,2022,"IOCL-MATHURA, UTTAR PRADESH",781.00,2023-08-19
February,2022,"IOCL-PANIPAT, HARYANA",1122.00,2023-08-19
February,2022,"ONGC TOTAL",1399.00,2023-08-19
March,2022,"IOCL-MATHURA, UTTAR PRADESH",884.00,2023-08-19
March,2022,"IOCL-PANIPAT, HARYANA",1285.00,2023-08-19
March,2022,"IOCL-PARADIP,ODISHA",1383.00,2023-08-19
March,2022,"BPCL-MUMBAI, MAHARASHTRA",1268.00,2023-08-19
March,2022,"GRAND TOTAL",22337.00,2023-08-19
April,2020,"IOCL-KOYALI, GUJARAT",578.00,2023-08-19
April,2020,"IOCL-PARADIP,ODISHA",725.00,2023-08-19
May,2020,"IOCL-KOYALI, GUJARAT",769.00,2023-08-19
May,2020,"IOCL-PANIPAT, HARYANA",919.00,2023-08-19
May,2020,"IOCL-BONGAIGAON,ASSAM",196.00,2023-08-19
May,2020,"IOCL TOTAL",4311.00,2023-08-19
May,2020,"BPCL-MUMBAI, MAHARASHTRA",907.00,2023-08-19
May,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",6.00,2023-08-19
May,2020,"ONGC TOTAL",572.00,2023-08-19
May,2020,"HMEL-GGSR, BATHINDA, PUNJAB",653.00,2023-08-19
May,2020,"RIL,JAMNAGAR,GUJARAT",2762.00,2023-08-19
May,2020,"RIL TOTAL",5312.00,2023-08-19
May,2020,"NEL-VADINAR,GUJARAT",1561.00,2023-08-19
June,2020,"IOCL-HALDIA, WEST BENGAL",533.00,2023-08-19
June,2020,"IOCL-MATHURA, UTTAR PRADESH",769.00,2023-08-19
June,2020,"NRL-NUMALIGARH, ASSAM",250.00,2023-08-19
July,2020,"IOCL-MATHURA, UTTAR PRADESH",754.00,2023-08-19
July,2020,"IOCL TOTAL",5363.00,2023-08-19
July,2020,"NRL-NUMALIGARH, ASSAM",219.00,2023-08-19
July,2020,BPCL-TOTAL,2571.00,2023-08-19
August,2020,"IOCL TOTAL",3950.00,2023-08-19
August,2020,"BPCL-MUMBAI, MAHARASHTRA",828.00,2023-08-19
August,2020,BPCL-TOTAL,2440.00,2023-08-19
August,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00,2023-08-19
August,2020,"HPCL-MUMBAI,MAHARASHTRA",658.00,2023-08-19
August,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1047.00,2023-08-19
August,2020,HPCL-TOTAL,2357.00,2023-08-19
August,2020,"RIL TOTAL",4390.00,2023-08-19
August,2020,"GRAND TOTAL",16150.00,2023-08-19
September,2020,"IOCL-BONGAIGAON,ASSAM",189.00,2023-08-19
September,2020,"BPCL-KOCHI, KERALA",980.00,2023-08-19
September,2020,BPCL-TOTAL,2577.00,2023-08-19
September,2020,"ONGC TOTAL",820.00,2023-08-19
October,2020,"IOCL-KOYALI, GUJARAT",1049.00,2023-08-19
October,2020,"IOCL-HALDIA, WEST BENGAL",585.00,2023-08-19
October,2020,"IOCL-BONGAIGAON,ASSAM",222.00,2023-08-19
October,2020,"IOCL-PARADIP,ODISHA",1279.00,2023-08-19
October,2020,CPCL-TOTAL,725.00,2023-08-19
October,2020,BORL-BINA,561.00,2023-08-19
October,2020,"NRL-NUMALIGARH, ASSAM",232.00,2023-08-19
October,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038.00,2023-08-19
October,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2441.00,2023-08-19
October,2020,"NEL-VADINAR,GUJARAT",563.00,2023-08-19
October,2020,"GRAND TOTAL",18389.00,2023-08-19
November,2020,"IOCL-BARAUNI,BIHAR",579.00,2023-08-19
November,2020,"IOCL-PARADIP,ODISHA",1325.00,2023-08-19
November,2020,"BPCL-MUMBAI, MAHARASHTRA",1247.00,2023-08-19
November,2020,"ONGC TOTAL",1018.00,2023-08-19
December,2020,CPCL-TOTAL,766.00,2023-08-19
December,2020,"NRL-NUMALIGARH, ASSAM",260.00,2023-08-19
December,2020,"ONGC TOTAL",1314.00,2023-08-19
December,2020,"RIL,JAMNAGAR,GUJARAT",2996.00,2023-08-19
December,2020,"RIL TOTAL",5688.00,2023-08-19
December,2020,"GRAND TOTAL",21024.00,2023-08-19
January,2021,"IOCL-BARAUNI,BIHAR",589.00,2023-08-19
January,2021,"IOCL-PARADIP,ODISHA",1206.00,2023-08-19
January,2021,"BPCL-MUMBAI, MAHARASHTRA",1320.00,2023-08-19
January,2021,"BPCL-KOCHI, KERALA",1573.00,2023-08-19
January,2021,BPCL-TOTAL,3837.00,2023-08-19
January,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",8.00,2023-08-19
January,2021,"RIL,JAMNAGAR,GUJARAT",2916.00,2023-08-19
February,2021,"IOCL-KOYALI, GUJARAT",912.00,2023-08-19
February,2021,"IOCL-HALDIA, WEST BENGAL",657.00,2023-08-19
February,2021,"NRL-NUMALIGARH, ASSAM",227.00,2023-08-19
February,2021,"HPCL-VISAKH,ANDHRA PRADESH",737.00,2023-08-19
